,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1671,Medical Office,5,NORTHWEST,1979,2,34759,Medical Office,44667.0,Parking,0.0,None,0.0,81.0,36.59999847,1633105.375,0.0,1633105.0,0.0,11.39,0.33
1672,Hospital,5,NORTHWEST,1966,1,415632,Hospital (General Medical & Surgical),483520.0,Parking,266833.0,None,0.0,85.0,207.5,100328264.0,0.0,42864158.0,56096612.0,3278.11,7.89
1675,Worship Facility,5,NORTHWEST,1965,2,44719,Worship Facility,45909.0,Medical Office,1025.0,Office,972.0,,37.20000076,1781436.375,0.0,704681.0,909345.0,53.21,1.19
1678,Supermarket / Grocery Store,2,GREATER DUWAMISH,1965,1,21603,Supermarket/Grocery Store,21603.0,None,0.0,None,0.0,16.0,274.3999939,5927199.5,0.0,3900058.0,1933742.0,129.89,6.01
1690,Medical Office,3,EAST,1964,3,591981,Medical Office,520187.0,Parking,282392.0,Specialty Hospital,54159.0,60.0,175.6999969,103985264.0,0.0,48002292.0,54671394.0,3238.24,5.47
1691,Distribution Center,1,DELRIDGE,1979,1,42900,Distribution Center,43050.0,None,0.0,None,0.0,53.0,10.69999981,461205.5938,0.0,436253.0,0.0,3.04,0.07
1692,Other,1,DELRIDGE,2005,1,57952,Adult Education,57952.0,None,0.0,None,0.0,,57.79999924,3347245.25,0.0,1474450.0,1616937.0,96.15,1.66
1693,Other,1,DELRIDGE,1971,1,26232,Services,18262.0,Office,7970.0,None,0.0,,126.4000015,3315521.5,0.0,902081.0,2192009.0,122.71,4.68
1698,Warehouse,3,DOWNTOWN,1956,2,25840,Non-Refrigerated Warehouse,25840.0,None,0.0,None,0.0,92.0,12.0,310602.3125,0.0,313528.0,0.0,2.19,0.08
1699,Small- and Mid-Sized Office,2,DOWNTOWN,1988,1,45145,Office,43813.0,None,0.0,None,0.0,,32.09999847,1405510.25,0.0,514491.0,753968.0,43.63,0.97
1701,Small- and Mid-Sized Office,3,DOWNTOWN,2001,5,70332,Office,44417.0,Parking,25915.0,None,0.0,89.0,45.0,2000777.25,0.0,1866104.0,115011.0,19.12,0.27
1717,K-12 School,2,GREATER DUWAMISH,1971,1,50546,K-12 School,53234.0,None,0.0,None,0.0,94.0,22.89999962,1220512.25,0.0,1066312.0,88768.0,12.15,0.24
1726,Supermarket / Grocery Store,6,BALLARD,1994,1,45522,Supermarket/Grocery Store,45522.0,Parking,0.0,None,0.0,22.0,275.8999939,12559767.0,0.0,7019711.0,5230709.0,326.74,7.18
1727,Retail Store,5,NORTHWEST,1979,2,20088,Retail Store,16080.0,Office,3500.0,Parking,508.0,,17.20000076,337536.0938,0.0,326778.0,0.0,2.28,0.11
1732,Other,1,GREATER DUWAMISH,1989,2,138907,Other,139557.0,None,0.0,None,0.0,,61.29999924,8551562.0,0.0,5130303.0,2707389.0,179.55,1.29
1733,Small- and Mid-Sized Office,1,GREATER DUWAMISH,1997,2,40657,Office,40657.0,Parking,0.0,None,0.0,57.0,69.59999847,2828385.0,0.0,2742404.0,84424.0,23.6,0.58
1734,Warehouse,1,GREATER DUWAMISH,1900,1,20200,Non-Refrigerated Warehouse,18700.0,Office,1500.0,None,0.0,,14.0,283275.0,0.0,260808.0,8209.0,2.25,0.11
1746,Small- and Mid-Sized Office,3,EAST,1970,7,54372,Office,54372.0,Parking,15000.0,None,0.0,94.0,27.20000076,1479454.375,0.0,1403820.0,0.0,9.79,0.18
1753,Other,3,EAST,1951,1,47699,Museum,47000.0,Parking,0.0,None,0.0,,313.7000122,14745217.0,8630381.0,5782654.0,111350.0,712.39,14.94
1754,Medical Office,3,EAST,1945,0,274568,Medical Office,228133.0,Parking,135954.0,None,0.0,52.0,111.1999969,25358122.0,13296249.0,12015275.0,0.0,1110.07,4.04
1755,Small- and Mid-Sized Office,3,EAST,1956,3,21282,Office,19658.0,None,0.0,None,0.0,69.0,70.19999695,1380656.125,762542.3125,483381.0,0.0,62.23,2.92
1757,Other,2,SOUTHEAST,1921,2,41022,Other,41022.0,None,0.0,None,0.0,,92.30000305,3787648.25,0.0,3787648.0,0.0,26.41,0.64
1760,Other,1,DELRIDGE,1966,2,28109,Other,28109.0,None,0.0,None,0.0,,128.5,3612526.75,0.0,3326281.0,286245.0,38.39,1.37
1762,Small- and Mid-Sized Office,5,NORTH,1985,3,33580,Office,20590.0,Parking,12990.0,None,0.0,100.0,19.89999962,409578.4063,0.0,409579.0,0.0,2.86,0.09
1766,Warehouse,5,NORTH,1977,1,21936,Non-Refrigerated Warehouse,21936.0,None,0.0,None,0.0,100.0,5.300000191,116642.5,0.0,71827.0,41303.0,2.69,0.12
1767,Other,5,NORTH,1969,1,30160,Other,30139.0,None,0.0,None,0.0,,39.29999924,1184385.875,0.0,244597.0,801241.0,44.26,1.47
1777,Other,1,DELRIDGE,1997,1,40189,Utility,28347.0,Office,9113.0,Parking,0.0,,42.59999847,1594851.25,0.0,921235.0,588057.0,37.65,0.94
1778,Small- and Mid-Sized Office,1,DELRIDGE,1988,2,66484,Office,49334.0,Non-Refrigerated Warehouse,18000.0,Retail Store,9000.0,69.0,40.59999847,3098383.5,0.0,3046543.0,0.0,21.24,0.32
1779,Small- and Mid-Sized Office,3,EAST,1959,3,25151,Office,24155.0,None,0.0,None,0.0,85.0,61.29999924,1481688.75,748984.6875,607890.0,0.0,62.05,2.47
1780,Hotel,3,EAST,1928,6,35770,Hotel,35770.0,None,0.0,None,0.0,56.0,79.30000305,2835357.0,0.0,605147.0,2035833.0,112.34,3.14
1782,Hotel,3,EAST,1928,9,48006,Hotel,48006.0,None,0.0,None,0.0,85.0,66.30000305,3182794.5,0.0,1533438.0,1706316.0,101.31,2.11
